name,departmentlocationid
jakby,97
położenie,63
amerykański,82
południowy,5
sześćdziesiąt,43
zakład,108
wilk,61
wczesny,62
mieszkanie,39
lecz,30
czeski,113
wieża,109
9,21
punkt,39
świat,30
mało,36
papież,73
sok,33
imię,102
piłka,48
głęboki,104
granica,1
część,118
termin,1
małpa,107
włożyć,64
pisać,10
uznawać,10
hiszpański,34
szósty,23
komórka,68
gazeta,44
ćwiczenie,52
połowa,75
mysz,99
obywatelka,71
słońce,20
orzeł,58
żona,112
spaść,50
pieniądze,42
jezioro,98
piętnaście,10
świecić,68
koncert,72
blisko,115
rysunek,118
ochrona,43
też,104
samochód,81
centralny,102
hiszpański,13
hodować,71
koło,92
kończyć,7
przyjęcie,38
trwały,29
maj,45
całość,61
bezpośrednio,73
dziewczyna,86
dzielnica,70
południowy,2
mi,29
lis,54
ręka,59
towar,35
nieszczęście,55
przyjemność,12
wynosić,40
suchy,69
piłka,77
większość,64
pewien,71
za pomocą,36
przedstawiać,101
sąd,84
obowiązywać,26
twardy,98
środowisko,100
Chrystus,42
Indie,34
!,60
aktywny,20
reakcja,7
u,119
70,8
słońce,13
podstawowy,105
wydawać,24
badać,38
narodowość,25
historia,35
kolumna,84
postępowanie,14
Rzym,45
bawić się,92
wszystkie,40
marzec,117
gatunek,72
–,88
strach,98
szklanka,57
usuwać,35
przecież,64
zaś,107
umieć,83
wczoraj,3
lecz,60
sześćdziesiąt,9
czysty,71
transport,98
kilometr,105
cienki,8
ale,16
dziś,86
0,16
Europa,63
kolejowy,39
wróg,80
położenie,16
nagły,36
potrzeba,110
płaski,117
opuścić,2
tamten,48
czynić,55
kula,52
granica,54
wspomnienie,44
ubogi,41
oglądać,81
ile,40
gotować,10
hałas,49
poznać,63
trzydziesty,64
smutek,51
mąż,103
okolica,14
otwierać,9
nowy,85
zacząć,13
cierpienie,32
uczyć,120
ojciec,86
wódka,37
spodnie,111
odkryć,51
czarny,112
pójść,111
poważny,20
swój,86
wnętrze,110
przedmiot,19
że,11
rynek,37
kolacja,91
godny,99
40,59
spotkanie,58
przez,9
postawa,76
powstawać,63
wychodzić,24
kwestia,45
rozpocząć,99
piętnaście,95
obowiązywać,60
stolica,44
wieczór,36
ściana,108
pora,60
dzielić,48
przyjaźń,54
dość,2
kamień,95
reakcja,66
krew,118
wino,64
analiza,93
900,86
pojęcie,83
grób,109
spór,10
waga,37
majuskuła,25
źle,76
łatwo,15
wojskowy,75
bawić się,5
inny,42
podczas,64
górski,62
równy,76
Indie,7
wolno,101
styczeń,111
zimno,27
czyjś,97
temat,22
symbol,21
nieszczęście,21
prowincja,2
otwierać,75
źródło,6
graniczyć,103
góra,72
krowa,40
wyrażenie,100
student,28
opinia,72
piec,28
złożony,55
sześć,53
kolega,35
starożytny,69
w końcu,30
skała,80
więcej,34
znaczny,98
pijany,56
przeciwko,88
nie ma,80
psychiczny,82
skóra,76
zawodowy,51
koniec,19
stacja,110
kobieta,13
towarzystwo,47
wypadek,28
w celu,48
bajka,98
tor,63
zamieszkiwać,40
oczywiście,86
widoczny,13
konstrukcja,68
ziemia,17
list,22
zamek,17
dlaczego,72
ponad,71
poziom,33
radio,63
uzyskać,1
stanowisko,80
prawie,57
bez,63
ale,76
zmienić,42
amerykański,16
wreszcie,57
dzieło,10
główny,74
lecz,65
możliwy,10
pacjent,54
badanie,95
czerwiec,110
sztuka,91
korzeń,92
różny,40
chronić,61
głos,53
obchodzić,49
również,85
małżeństwo,70
naukowy,54
tak,34
Żyd,35
muzeum,36
trzy,93
stacja,91
piłka nożna,37
częściowo,87
budzić,110
wydarzenie,5
1000,46
nieszczęście,23
płaszcz,85
samochód,34
egzamin,51
być,41
skończyć,63
ocean,54
odzież,107
różowy,1
pisarz,80
90,1
księga,13
wkrótce,78
jedzenie,30
czynnik,8
wieś,11
uniwersytet,80
zegar,22
materiał,50
ustawa,65
łąka,78
kula,58
nad,84
smak,69
muzeum,52
kilka,117
łączyć,83
zwykle,112
przebywać,106
gęś,40
30,118
osiągnąć,65
Słońce,105
podczas,73
kraina,105
jeden,118
przeszkoda,80
lęk,65
z krwi i kości,81
okoliczność,18
kłaść,1
czynnik,59
wszelki,108
kolorowy,79
kolor,25
oddawać,51
wysłać,22
umrzeć,28
wielki,67
treść,119
ciemność,91
lampa,17
decyzja,61
mi,53
chiński,70
rozmowa,96
wyjść,26
ukraiński,108
deszcz,58
wszyscy,34
kula,75
chemiczny,32
płaszcz,55
operacja,10
trudno,99
bez,25
orzeł,89
właściwość,6
dobro,68
palić,59
lekarz,27
nowy,25
mózg,105
wszystek,81
słoneczny,17
wziąć,73
produkcja,40
sytuacja,89
dźwięk,12
hasło,117
panna,65
opieka,60
stawać się,49
ręka,83
wartość,100
dokładnie,90
wstyd,73
kościół,115
czytać,93
znaleźć,117
następny,111
język,109
pytać,49
walczyć,69
gałąź,104
swój,16
życie,25
czysty,76
wewnętrzny,76
plaża,47
górny,74
dzisiejszy,110
wydawać,27
obywatelka,57
panować,69
strona,62
ten,116
lek,80
one,93
egzamin,73
Japonia,68
temat,109
w kształcie,107
powiedzieć,33
gotować,62
przestrzeń,40
park,116
epoka,44
kara,34
poprzedni,31
przerwa,44
pałac,32
Ziemia,67
ta,36
dany,112
liczny,65
w końcu,104
raz,20
opisać,95
korzeń,95
temperatura,54
poeta,25
wujek,101
marka,91
Kraków,24
chwila,111
letni,48
gazeta,36
pasek,69
cztery,84
plac,24
Afryka,96
większość,78
mięsień,51
szukać,48
przyszłość,86
szybko,25
umieścić,116
szwedzki,65
chcieć,20
nowy,11
promień,65
przygotowywać,43
spokojny,108
uderzenie,46
kłaść,10
trwały,17
średniowieczny,52
wyjście,18
jechać,65
las,58
Jan,96
narodowość,82
między,98
20,60
gatunek,103
dwadzieścia,101
pełen,89
sala,65
milion,101
oczywiście,50
drzwi,96
jezioro,5
wciąż,23
USA,74
małżeństwo,87
pomysł,48
Szwecja,77
minerał,110
wieś,112
skała,2
wybrać,8
moneta,70
Grecja,57
temat,62
sieć,39
kawa,109
skład,92
samiec,19
muzyczny,44
r.,62
umrzeć,11
ta,6
taki,119
płacić,74
nowy,76
dziś,116
widok,82
tytoń,10
miecz,67
norma,18
list,116
